"Date","Price","Open","High","Low","Vol.","Change %"
"03/08/2024","1.0013","1.0017","1.0021","1.0008","75.34M","-0.04%"
"03/07/2024","1.0017","1.0008","1.0025","1.0003","281.32M","0.09%"
"03/06/2024","1.0008","1.0013","1.0025","1.0000","340.41M","-0.06%"
"03/05/2024","1.0013","1.0014","1.0021","0.9997","300.31M","0.00%"
"03/04/2024","1.0014","1.0005","1.0021","1.0003","303.60M","0.08%"
"03/03/2024","1.0005","1.0008","1.0012","1.0002","69.15M","-0.02%"
"03/02/2024","1.0007","1.0008","1.0015","1.0005","110.58M","0.00%"
"03/01/2024","1.0007","1.0005","1.0015","1.0001","254.45M","0.02%"
"02/29/2024","1.0006","1.0011","1.0014","0.9994","253.78M","-0.05%"
"02/28/2024","1.0011","1.0005","1.0016","0.9982","236.30M","0.06%"
"02/27/2024","1.0005","1.0007","1.0012","1.0002","312.50M","-0.02%"
"02/26/2024","1.0007","1.0000","1.0010","0.9998","195.18M","0.06%"
"02/25/2024","1.0000","1.0000","1.0000","0.9998","60.98M","0.01%"
"02/24/2024","1.0000","0.9999","1.0000","0.9996","39.90M","0.01%"
"02/23/2024","0.9999","0.9994","1.0000","0.9993","110.19M","0.05%"
"02/22/2024","0.9994","1.0000","1.0002","0.9990","187.28M","-0.07%"
"02/21/2024","1.0000","1.0002","1.0002","0.9998","120.29M","-0.01%"
"02/20/2024","1.0002","1.0002","1.0003","0.9997","155.27M","0.00%"
"02/19/2024","1.0001","1.0002","1.0004","0.9999","109.61M","-0.01%"
"02/18/2024","1.0002","1.0004","1.0005","1.0000","44.94M","-0.01%"
"02/17/2024","1.0004","1.0007","1.0009","1.0003","92.66M","-0.04%"
"02/16/2024","1.0007","1.0011","1.0012","1.0003","177.01M","-0.03%"
"02/15/2024","1.0011","1.0010","1.0013","1.0002","199.24M","0.01%"
"02/14/2024","1.0010","1.0006","1.0010","1.0000","158.76M","0.04%"
"02/13/2024","1.0006","1.0003","1.0007","1.0000","154.36M","0.02%"
"02/12/2024","1.0003","1.0003","1.0006","0.9999","153.56M","0.01%"
"02/11/2024","1.0002","1.0003","1.0006","1.0001","51.13M","0.00%"
"02/10/2024","1.0003","1.0004","1.0009","1.0001","77.65M","-0.02%"
"02/09/2024","1.0004","1.0001","1.0008","0.9997","139.16M","0.03%"
"02/08/2024","1.0001","0.9999","1.0002","0.9995","166.16M","0.03%"
"02/07/2024","0.9999","0.9999","0.9999","0.9991","136.37M","0.00%"
"02/06/2024","0.9999","0.9988","0.9999","0.9986","116.85M","0.11%"
"02/05/2024","0.9988","0.9997","0.9997","0.9986","118.64M","-0.09%"
"02/04/2024","0.9997","0.9998","0.9999","0.9994","25.10M","-0.01%"
"02/03/2024","0.9998","0.9997","1.0000","0.9994","37.14M","0.02%"
"02/02/2024","0.9997","0.9998","0.9998","0.9992","119.84M","-0.02%"
"02/01/2024","0.9998","0.9993","1.0000","0.9990","133.76M","0.05%"
"01/31/2024","0.9994","1.0001","1.0002","0.9992","157.67M","-0.08%"
"01/30/2024","1.0001","1.0002","1.0003","0.9998","135.72M","0.00%"
"01/29/2024","1.0001","1.0001","1.0010","0.9998","125.54M","0.01%"
"01/28/2024","1.0000","1.0002","1.0002","0.9999","28.21M","-0.01%"
"01/27/2024","1.0002","1.0000","1.0002","0.9999","37.37M","0.02%"
"01/26/2024","1.0000","0.9996","1.0003","0.9993","140.82M","0.04%"
"01/25/2024","0.9996","0.9997","1.0002","0.9993","148.91M","0.00%"
"01/24/2024","0.9997","0.9992","1.0000","0.9989","138.41M","0.05%"
"01/23/2024","0.9992","0.9987","0.9993","0.9984","179.20M","0.04%"
"01/22/2024","0.9987","0.9993","0.9999","0.9987","172.47M","-0.06%"
"01/21/2024","0.9993","0.9993","0.9996","0.9992","27.30M","0.00%"
"01/20/2024","0.9994","0.9992","0.9998","0.9990","39.89M","0.01%"
"01/19/2024","0.9992","0.9993","0.9996","0.9985","145.73M","-0.01%"
"01/18/2024","0.9994","0.9993","0.9994","0.9980","190.66M","0.01%"
"01/17/2024","0.9992","0.9999","1.0000","0.9989","206.75M","-0.07%"
"01/16/2024","0.9999","0.9996","1.0002","0.9989","214.41M","0.04%"
"01/15/2024","0.9996","0.9994","0.9999","0.9992","135.51M","0.01%"
"01/14/2024","0.9994","1.0001","1.0001","0.9994","41.89M","-0.06%"
"01/13/2024","1.0000","0.9998","1.0002","0.9996","48.41M","0.01%"
"01/12/2024","0.9999","1.0003","1.0008","0.9989","229.34M","-0.03%"
"01/11/2024","1.0002","1.0004","1.0011","0.9994","253.41M","-0.02%"
"01/10/2024","1.0004","1.0004","1.0010","1.0000","309.66M","0.00%"
"01/09/2024","1.0004","1.0009","1.0010","1.0001","335.27M","-0.04%"
"01/08/2024","1.0009","1.0005","1.0012","1.0000","247.63M","0.04%"
